SN,vehicle_proprietor,exacttime,number_plate
1,car,2025-05-11 02:35:19, MN 4 Y
2,car,2025-05-11 08:07:03,  EE ET   PET
3,car,2025-05-11 02:01:58,YO ES   EE
4,car,2025-05-11 01:53:17,RR AE  AE  SHOE
5,car,2025-05-11 01:53:24,NQUESS
6,car,2025-05-11 02:30:35,PA   A
7,car,2025-05-11 02:35:39,  WE
8,car,2025-05-11 02:01:56, CBP
9,car,2025-05-11 02:30:16,OX22 28
10,car,2025-05-11 02:30:17,NE  LAE  WER  AN  PR AE DIED
11,car,2025-05-11 08:23:00,FT
12,car,2025-05-11 02:35:19, MN 4 Y
13,car,2025-05-11 08:07:03,  EE ET   PET
14,car,2025-05-11 02:01:58,YO ES   EE
15,car,2025-05-11 01:53:17,RR AE  AE  SHOE
16,car,2025-05-11 01:53:24,NQUESS
17,car,2025-05-11 02:30:35,PA   A
18,car,2025-05-11 02:35:39,  WE
19,car,2025-05-11 08:23:02,TEXZ2 26 J
20,car,2025-05-11 02:01:56, CBP
21,car,2025-05-11 02:30:16,OX22 28
22,car,2025-05-11 02:30:17,NE  LAE  WER  AN  PR AE DIED
23,unknown,2025-05-11 08:46:42,FT
24,unknown,2025-05-11 08:46:54,  OA  
25,unknown,2025-05-11 08:47:03, MN 4 Y
26,unknown,2025-05-11 08:47:16,  OODTT INE   E 2 1
27,unknown,2025-05-11 08:47:31,NE  EE  RP  E
28,unknown,2025-05-11 08:47:45,A
29,unknown,2025-05-11 08:47:57,RD NE EAS PO EE IF
30,unknown,2025-05-11 08:48:07,  EE ET   PET
31,unknown,2025-05-11 08:48:18,S  A  24  7  WS  AA  EAN  4
32,unknown,2025-05-11 08:48:28,MT OND SID   OTIC  ORE  M  REN
33,unknown,2025-05-11 08:48:38,    7    EE EE EE  WY
34,unknown,2025-05-11 08:48:46,PE I
35,unknown,2025-05-11 08:48:55,WZ
